time,Current pos-x,Current pos-y,Current rot-z,Current rot-w,Goal pos-x ,Goal pos-y,Goal rot-z,Goal rot-w
46.0,-0.779974925537529,1.8537905323552288,0.584728020255238,0.8112294017898944,-0.7834806442260742,1.831446647644043,0.6728568661534357,0.7397726932444706
45.0,-0.7842951967894868,1.8495947891958293,0.48956442021571905,0.8719671315243751,,,,
44.0,-0.77619291604418,1.855630320736307,0.38050682982302775,0.9247781098501572,,,,
44.0,-0.7794763966527407,1.8558523591852256,0.2662855066075425,0.9638942000918796,,,,
43.0,-0.7757390159139321,1.8598316400737556,0.1435801994837815,0.9896386847310474,,,,
43.0,-0.7833011408183448,1.8578073093275367,0.025895128121600195,0.9996646649449834,,,,
42.0,-0.7672363438477894,1.8450240085596623,-0.09773433415480373,0.9952125400774033,,,,
42.0,-0.7694313583181324,1.8405406005287415,-0.2179199110386749,0.9759666553591347,,,,
41.0,-0.7760480117090615,1.8451513761826865,-0.3320347029256668,0.9432671710883742,,,,
41.0,-0.7771728113046512,1.858166495560415,-0.44267780300322973,0.8966807473835009,,,,
39.0,-0.7933357927559994,1.895917787259832,-0.5308378877560936,0.8474733841971964,,,,
38.0,-0.7951805283088001,1.9112430632806423,-0.43144495269422606,0.9021392646341678,,,,
37.0,-0.7851032532042279,1.9202923860695178,-0.32832960512670234,0.9445632167289513,,,,
37.0,-0.7885244034953179,1.9209297909374994,-0.20207748494707173,0.9793695370377139,,,,
36.0,-0.7958785623040587,1.910836274012233,-0.09304232764760806,0.9956621541797775,,,,
36.0,-0.815651865760098,1.9071378471531433,0.03758173229060988,0.9992935571682813,,,,
35.0,-0.838033657800736,1.900764368955898,0.16719794219675402,0.9859233479967755,,,,
35.0,-0.8544215123236082,1.8849275703197206,0.29002599406987445,0.957018768240091,,,,
34.0,-0.8657526307753445,1.8786574099958826,0.3983642084408159,0.9172273204791287,,,,
34.0,-0.8769805559438294,1.8640747443193513,0.5079624677028576,0.8613792030257194,,,,
33.0,-0.8656424725635715,1.8733030285846757,0.604061548526078,0.7969376673192683,,,,
33.0,-0.8548244029610232,1.8551507244675214,0.6966867019781764,0.7173755218062376,,,,
32.0,-0.8456431073158784,1.8623392843356223,0.7675852864919276,0.6409468214767161,,,,
31.0,-0.8123136955134603,1.845525708809332,0.8331684347660077,0.5530193118775879,,,,
30.0,-0.7859827956587814,1.8413903697960234,0.8899464675323082,0.45606500076937084,,,,
30.0,-0.762777583786878,1.812122526636318,0.9338355270713068,0.35770268153797036,,,,
26.0,-0.49579339930790595,1.542359512838813,0.9220031312441761,0.3871824195078265,,,,
23.0,-0.2503188058107724,1.2885574947391565,0.9219627569306874,0.3872785494095512,,,,
21.0,-0.0019452020809845247,1.0391581462011497,0.9155501696216997,0.4022037877813647,,,,
19.0,0.2195141286810764,0.7649410702441852,0.9156596689593431,0.4019544385142003,,,,
16.0,0.4537725195659381,0.5031797940643029,0.9257468430787962,0.37814386485786433,,,,
14.0,0.7097559486463586,0.22767733300643378,0.9169295170045721,0.3990491960219467,,,,
11.0,0.9543250973021514,-0.0209894820043098,0.9181135460490276,0.3963174441798898,,,,
9.0,1.2009093691460015,-0.27367843016758764,0.9232088947750353,0.3842984993572806,,,,
7.0,1.450809514659419,-0.5131312053235458,0.9196782903576073,0.39267269098437263,,,,
4.0,1.7074822984085236,-0.755318986223081,0.9237232722893135,0.3830604602815627,,,,
2.0,1.9765462296197844,-1.001790867762261,0.9441725233751597,0.3294514320857985,,,,
1.0,2.072652501105649,-1.0509551870186566,0.9725324745557036,0.2327672355263083,,,,
1.0,2.156842634099321,-1.0653187037320884,0.9915500710537931,0.12972454121413518,,,,
0.0,2.25804699274934,-1.072084379871078,0.9997502329680652,0.022348863065027345,,,,
